,date,private,foreign,institution
176,02-06-20,-98,-472,350
177,01-06-20,-4455,1102,3250
178,29-05-20,1898,-1999,-201
179,28-05-20,-2842,604,2225
180,27-05-20,3216,-2153,-727
181,26-05-20,-4799,141,3417
182,25-05-20,958,-1415,347
183,22-05-20,9362,-4749,-4485
184,21-05-20,2904,764,-3882
185,20-05-20,-1819,788,981
186,19-05-20,-11869,3658,8432
187,18-05-20,301,-931,339
188,15-05-20,2234,-4721,2426
189,14-05-20,7866,-5521,-2372
190,13-05-20,2154,-3177,935
191,12-05-20,6057,-3105,-2985
192,11-05-20,5112,-1701,-3631
193,08-05-20,-2432,451,1705
194,07-05-20,2534,-3201,565
195,06-05-20,-1,-3146,3090
196,04-05-20,17001,-9420,-8060
197,29-04-20,-4870,2358,2522
198,28-04-20,856,-1250,239
199,27-04-20,-5492,183,5279
200,24-04-20,6328,-2307,-4231
201,23-04-20,-156,-1062,1000
202,22-04-20,3178,-355,-3098
203,21-04-20,7094,-5282,-1904
204,20-04-20,9560,-4980,-4849
205,17-04-20,-6057,3186,2356
206,16-04-20,3888,-5687,1363
207,14-04-20,-4530,-317,4679
208,13-04-20,7588,-2920,-4576
209,10-04-20,2520,-558,-2059
210,09-04-20,2941,-1783,-1296
211,08-04-20,4520,-1345,-2820
212,07-04-20,1492,-1951,329
213,06-04-20,-8430,-2019,10361
214,03-04-20,3487,-2883,-833
215,02-04-20,2700,-6233,3599
216,01-04-20,11508,-5752,-6199
217,31-03-20,3845,-711,-2901
218,30-03-20,1986,-4272,2236
219,27-03-20,1731,-3724,1300
220,26-03-20,7166,-5307,-2138
221,25-03-20,4283,-3230,-948
222,24-03-20,-4623,-823,5024
223,23-03-20,9200,-6405,-3611
224,20-03-20,2004,-5832,3116
225,19-03-20,2421,-6149,2898
226,18-03-20,9136,-5058,-5145
227,17-03-20,6010,-10031,3502
228,16-03-20,9263,-6786,-3465
229,13-03-20,4463,-11629,5848
230,12-03-20,5388,-8891,2756
231,11-03-20,10886,-6835,-4838
232,10-03-20,3114,-9897,6113
233,09-03-20,12800,-13075,-463
234,06-03-20,7915,-5637,-2625
235,05-03-20,3213,-1459,-2016
236,04-03-20,-38,1506,-1706
237,03-03-20,7090,-3072,-4474
238,02-03-20,4616,-7860,2703
239,28-02-20,2299,-6337,3576
240,27-02-20,3465,-3968,-19
241,26-02-20,7886,-8735,237
242,25-02-20,6103,-7688,1135
243,24-02-20,6084,-7816,1916
244,21-02-20,2837,2180,-5350
245,20-02-20,1924,1117,-3356
246,19-02-20,1600,-2203,-118
247,18-02-20,7671,-3054,-5281
248,17-02-20,1960,-2294,139
249,14-02-20,-11,937,-1086
250,13-02-20,-39,2768,-3278
251,12-02-20,460,-2175,1489
252,11-02-20,-2204,-940,3182
253,10-02-20,4355,-3036,-1650
254,07-02-20,3916,252,-4660
255,06-02-20,-6881,1524,5167
256,05-02-20,4341,4601,-9082
257,04-02-20,2026,4863,-7020
258,03-02-20,1180,-3079,1698
259,31-01-20,2788,-4250,1717
260,30-01-20,6632,-2788,-4427
261,29-01-20,3727,1012,-4976
262,28-01-20,6672,-5248,-1894
263,23-01-20,5813,-1334,-4795
264,22-01-20,-2182,-735,2885
265,21-01-20,3605,-2048,-1853
266,20-01-20,-547,635,-278
267,17-01-20,1861,948,-2967
268,16-01-20,2235,-258,-2099
269,15-01-20,3156,-849,-2436
270,14-01-20,1336,2640,-4282
271,13-01-20,-491,2574,-2148
272,10-01-20,-232,3785,-3635
273,09-01-20,1923,908,-2851
274,08-01-20,-192,2684,-2400
275,07-01-20,-1678,1953,-453
276,06-01-20,2363,991,-3209
277,03-01-20,2738,2623,-5239
278,02-01-20,5305,-44,-5401
279,30-12-19,1235,-3402,2042
280,27-12-19,1925,642,-2790
281,26-12-19,-4673,-401,4605
282,24-12-19,-1081,-1670,2584
283,23-12-19,-3219,-489,3545
284,20-12-19,-3221,1558,1389
285,19-12-19,-1640,2491,-1083
286,18-12-19,-560,3833,-3358
287,17-12-19,-5292,5134,116
288,16-12-19,-2149,-1914,3781
289,13-12-19,-9892,5139,4797
290,12-12-19,-9175,5512,3473
291,11-12-19,-1766,-75,1450
292,10-12-19,-1311,-193,1169
293,09-12-19,-818,650,-198
294,06-12-19,-2201,430,1603
295,05-12-19,590,-678,-247
296,04-12-19,3202,-3953,508
297,03-12-19,1273,-2692,1147
298,02-12-19,497,-3920,3094
299,29-11-19,4434,-4499,-487
300,28-11-19,282,-1167,720
301,27-11-19,181,-1431,942
302,26-11-19,604,-8573,7631
303,25-11-19,-1408,-2595,3589
304,22-11-19,583,-1860,912
305,21-11-19,2534,-5706,2645
306,20-11-19,3606,-3341,-981
307,19-11-19,960,-128,-1202
308,18-11-19,665,-1627,634
309,15-11-19,-6561,-1416,7859
310,14-11-19,-620,-2087,2261
311,13-11-19,2277,-280,-2419
312,12-11-19,238,-395,-151
313,11-11-19,1405,-1722,-9
314,08-11-19,63,-1037,630
315,07-11-19,642,-1533,535
316,06-11-19,-668,2369,-2136
317,05-11-19,-2112,3216,-1335
318,04-11-19,-5126,682,4644
319,01-11-19,-594,1378,-1184
320,31-10-19,-1498,347,594
321,30-10-19,1544,101,-2249
322,29-10-19,-168,-996,735
323,28-10-19,-1255,-560,1359
324,25-10-19,-1072,570,415
325,24-10-19,-1587,1741,-560
326,23-10-19,303,1168,-1503
327,22-10-19,-5292,861,4335
328,21-10-19,446,-1208,542
329,18-10-19,2292,-1302,-1000
330,17-10-19,-96,-945,843
331,16-10-19,-1774,46,1447
332,15-10-19,272,-602,109
333,14-10-19,-2612,221,2219
334,11-10-19,-1562,1093,438
335,10-10-19,2281,-1376,-954
336,08-10-19,-2551,-461,3035
337,07-10-19,-423,-229,440
338,04-10-19,1001,-1490,243
339,02-10-19,5022,-1124,-3809
340,01-10-19,-1585,-1426,2951
341,30-09-19,-981,-5,812
342,27-09-19,1995,-249,-1755
343,26-09-19,518,3160,-3848
344,25-09-19,2226,-3661,1291
345,24-09-19,-1620,-2162,3780
346,23-09-19,-223,-689,839
347,20-09-19,-2147,445,1816
348,19-09-19,-1011,2181,-993
349,18-09-19,-1616,559,1074
350,17-09-19,-313,-805,962
351,16-09-19,-457,-1602,1982
352,11-09-19,-3344,-2837,6135
353,10-09-19,-1919,146,1713
354,09-09-19,-1730,2335,-747
355,06-09-19,-338,483,-199
356,05-09-19,-2844,1880,929
357,04-09-19,-1496,-3502,4830
358,03-09-19,404,-3051,2491
359,02-09-19,-196,-1242,1322
360,30-08-19,-3982,2243,1652
361,29-08-19,524,-1129,455
362,28-08-19,-749,-521,1062
363,27-08-19,-309,-1181,1313
364,26-08-19,534,-1175,709
365,23-08-19,-912,75,664
366,22-08-19,1619,-1229,-512
367,21-08-19,1005,-1274,48
368,20-08-19,-600,1130,-723
369,19-08-19,-573,-1392,1869
370,16-08-19,549,-937,153
371,14-08-19,520,-501,-243
372,13-08-19,1558,-1765,-24
373,12-08-19,1841,-24,-1854
374,09-08-19,2152,-43,-2292
375,08-08-19,2390,-1017,-1417
376,07-08-19,1769,-980,-990
377,06-08-19,-4439,-6056,10337
378,05-08-19,-4437,-3169,7355
379,02-08-19,143,-3979,3626
380,01-08-19,-873,-51,836
381,31-07-19,-774,-496,1209
382,30-07-19,-1469,1410,39
383,29-07-19,-767,-625,1350
384,26-07-19,-221,1184,-1032
385,25-07-19,457,1124,-1536
386,24-07-19,533,585,-1140
387,23-07-19,-2833,2857,37
388,22-07-19,-647,2335,-1686
389,19-07-19,-4632,1306,3381
390,18-07-19,1002,708,-1729
391,17-07-19,587,233,-745
392,16-07-19,-2157,2512,-315
393,15-07-19,-494,143,253
394,12-07-19,168,-59,-64
395,11-07-19,-1993,3649,-1782
396,10-07-19,-13,2033,-1882
397,09-07-19,826,240,-1149
398,08-07-19,499,18,-498
399,05-07-19,-1050,-250,1263
400,04-07-19,-238,401,-93
401,03-07-19,1562,-860,-675
402,02-07-19,240,343,-515
403,01-07-19,-191,1545,61
404,28-06-19,-1995,3123,-1097
405,27-06-19,-4058,1559,2671
406,26-06-19,-736,165,610
407,25-06-19,-211,0,88
408,24-06-19,-728,-992,1637
409,21-06-19,1187,133,-1309
410,20-06-19,-1485,-183,1645
411,19-06-19,-4605,3004,1693
412,18-06-19,-1295,2618,869
413,17-06-19,78,-1501,1404
414,14-06-19,1577,-694,-922
415,13-06-19,1317,-1657,515
416,12-06-19,-963,-23,1016
417,11-06-19,-2665,692,2035
418,10-06-19,-3384,1819,1673
419,07-06-19,-401,-333,658
420,05-06-19,567,-1559,985
421,04-06-19,32,-2002,1935
422,03-06-19,-1933,2914,-986
423,31-05-19,-613,2062,-1460
424,30-05-19,-720,484,217
425,29-05-19,1932,-3815,1927
426,28-05-19,1199,-7191,6227
427,27-05-19,229,-1940,1711
428,24-05-19,-13,-3102,3069
429,23-05-19,150,809,-962
430,22-05-19,728,53,-925
431,21-05-19,-95,744,-730
432,20-05-19,370,-178,96
433,17-05-19,1825,-1994,42
434,16-05-19,4114,-4679,367
435,15-05-19,1082,-776,-484
436,14-05-19,-603,-2851,3368
437,13-05-19,2581,-1373,-1314
438,10-05-19,2969,-3223,13
439,09-05-19,8157,-2015,-6465
440,08-05-19,493,90,-631
441,07-05-19,2823,2026,-4787
442,03-05-19,2417,1521,-4075
443,02-05-19,-1025,681,170
444,30-04-19,119,429,-573
445,29-04-19,-2833,30,2785
446,26-04-19,1401,355,-1844
447,25-04-19,629,-165,-446
448,24-04-19,4030,230,-4214
449,23-04-19,180,407,-708
450,22-04-19,702,-186,-503
451,19-04-19,178,-567,351
452,18-04-19,2959,-1320,-1290
453,17-04-19,-589,756,14
454,16-04-19,-949,1527,-539
455,15-04-19,466,1781,-2189
456,12-04-19,-1657,2446,-558
457,11-04-19,-1512,3208,-1606
458,10-04-19,-2280,-33,2335
459,09-04-19,-1740,2090,-332
460,08-04-19,-1181,2731,-1566
461,05-04-19,-1544,996,616
462,04-04-19,-3797,2449,1378
463,03-04-19,-4644,1431,2008
464,02-04-19,-1036,2734,-1506
465,01-04-19,-4381,2491,1846
466,29-03-19,-1560,890,597
467,28-03-19,837,-139,-832
468,27-03-19,192,-1561,1202
469,26-03-19,1557,374,-1915
470,25-03-19,2692,-709,-2191
471,22-03-19,471,5013,-5618
472,21-03-19,-3264,4841,-1515
473,20-03-19,856,-1237,387
474,19-03-19,369,-124,-158
475,18-03-19,-1868,-488,2287
476,15-03-19,-4963,-1342,6284
477,14-03-19,1416,2867,-4344
478,13-03-19,957,1001,-2031
479,12-03-19,-225,-23,824
480,11-03-19,894,-1793,166
481,08-03-19,2932,-1739,-1274
482,07-03-19,1108,4,-1130
483,06-03-19,654,60,-532
484,05-03-19,2444,-1570,-919
485,04-03-19,403,-1320,767
486,28-02-19,-618,-2536,3169
487,27-02-19,-1116,-573,1519
488,26-02-19,-299,526,-111
489,25-02-19,91,-796,803
490,22-02-19,-342,-45,401
491,21-02-19,-117,2084,-2048
492,20-02-19,-4300,4345,-76
493,19-02-19,-1388,-76,1419
494,18-02-19,-3241,456,2664
495,15-02-19,1985,-1777,-449
496,14-02-19,-1926,-476,2427
497,13-02-19,-1261,-306,1343
498,12-02-19,-147,-375,469
499,11-02-19,1156,-573,-733
500,08-02-19,3313,-2803,-725
501,07-02-19,695,1607,-2510
502,01-02-19,-749,2668,-2145
503,31-01-19,-1146,2832,-1744
504,30-01-19,-3273,3099,157
505,29-01-19,201,1910,-2079
506,28-01-19,-422,3573,-3051
507,25-01-19,-8834,8166,876
508,24-01-19,-1752,4959,-3187
509,23-01-19,-3473,-1006,4458
510,22-01-19,-186,1343,-1242
511,21-01-19,-1396,647,532
512,18-01-19,-2100,1119,996
513,17-01-19,-132,2343,-2116
514,16-01-19,-867,995,-205
515,15-01-19,-4110,1228,2880
516,14-01-19,758,948,-1792
517,11-01-19,-1277,1771,-804
518,10-01-19,-92,2732,-2619
519,09-01-19,-5146,3846,1394
520,08-01-19,334,-257,-87
521,07-01-19,-2046,559,1646
522,04-01-19,-1044,-1233,2264
523,03-01-19,617,1023,-1684
524,02-01-19,3093,-262,-3024
525,28-12-18,-343,2025,-1634
526,27-12-18,3005,2420,-5459
527,26-12-18,-4710,572,3791
528,24-12-18,-2675,67,2491
529,21-12-18,-2544,-2253,4960
530,20-12-18,-92,-418,633
531,19-12-18,-2550,89,2552
532,18-12-18,-1551,-1709,3139
533,17-12-18,-2582,653,2039
534,14-12-18,1829,-906,-1221
535,13-12-18,-1716,4818,-3120
536,12-12-18,-2680,-429,3086
537,11-12-18,619,-1764,1048
538,10-12-18,1340,-2716,1171
539,07-12-18,116,285,-582
540,06-12-18,3485,-3821,214
541,05-12-18,1051,-1967,925
542,04-12-18,2198,1234,-3609
543,03-12-18,-4541,3227,1328
544,30-11-18,1293,-366,293
545,29-11-18,-2716,3253,-553
546,28-11-18,-1542,932,281
547,27-11-18,-2168,1954,194
548,26-11-18,-4217,-372,4506
549,23-11-18,967,372,-1427
550,22-11-18,1422,-434,-1004
551,21-11-18,716,-3908,3272
552,20-11-18,298,-2558,897
553,19-11-18,-584,-926,1594
554,16-11-18,192,-206,92
555,15-11-18,-1011,-1700,2721
