,date,private,foreign,institution
793,23-11-17,-24,-757,419
794,22-11-17,-819,397,232
795,21-11-17,-5085,3916,983
796,20-11-17,899,2151,-3395
797,17-11-17,-1419,5489,-4401
798,16-11-17,-798,2862,-2089
799,15-11-17,-369,-647,810
800,14-11-17,-1290,-969,1834
801,13-11-17,2579,-642,-2267
802,10-11-17,1432,-1889,169
803,09-11-17,2090,-670,-1853
804,08-11-17,617,540,-706
805,07-11-17,-740,2444,-707
806,06-11-17,1810,1456,-3681
807,03-11-17,-1683,-1476,2724
808,02-11-17,1546,-12,-1952
809,01-11-17,-2305,3032,-1144
810,31-10-17,-249,4191,-3958
811,30-10-17,2620,2517,-5217
812,27-10-17,-130,965,-958
813,26-10-17,-363,-266,626
814,25-10-17,571,1119,-1661
815,24-10-17,684,-1014,270
816,23-10-17,2042,3156,-6174
817,20-10-17,-407,1615,-1751
818,19-10-17,-23,26,-152
819,18-10-17,-62,-320,-469
820,17-10-17,1458,-515,-1497
821,16-10-17,-717,-274,493
822,13-10-17,-1135,-358,1094
823,12-10-17,-548,2440,-2212
824,11-10-17,538,7007,-5339
825,10-10-17,-3104,8177,-5619
826,29-09-17,-1566,310,688
827,28-09-17,1189,-1291,-495
828,27-09-17,1658,-2808,407
829,26-09-17,-1578,-3852,5065
830,25-09-17,225,-335,-408
831,22-09-17,451,254,-1144
832,21-09-17,1807,971,-2009
833,20-09-17,858,-1881,576
834,19-09-17,1497,-1434,-512
835,18-09-17,-1615,2196,-819
836,15-09-17,108,-881,674
837,14-09-17,1922,-231,455
838,13-09-17,-606,-58,416
839,12-09-17,-52,-1859,1462
840,11-09-17,-2332,-1506,3638
841,08-09-17,455,139,-834
842,07-09-17,-2246,724,1251
843,06-09-17,1073,-3253,1755
844,05-09-17,-660,-2133,2429
845,04-09-17,-3434,43,3165
846,01-09-17,1040,763,-2178
847,31-08-17,1277,-1100,-548
848,30-08-17,-1277,-676,1848
849,29-08-17,2089,-2640,472
850,28-08-17,-923,-599,1196
851,25-08-17,-1668,-259,1683
852,24-08-17,-1720,172,1208
853,23-08-17,742,1091,-2016
854,22-08-17,-1688,659,885
855,21-08-17,508,-212,-779
856,18-08-17,539,62,-891
857,17-08-17,407,1744,-2306
858,16-08-17,1572,-1038,-670
859,14-08-17,-1204,-2582,3586
860,11-08-17,-702,-5862,6225
861,10-08-17,-1702,-2258,4279
862,09-08-17,-867,-2563,3052
863,08-08-17,431,917,-1500
864,07-08-17,-402,933,-942
865,04-08-17,-947,-1637,2148
866,03-08-17,3576,-4027,102
867,02-08-17,73,1356,-1704
868,01-08-17,-1750,-362,1798
869,31-07-17,-2606,-2551,4861
870,28-07-17,789,-5599,4822
871,27-07-17,-1365,-2083,3589
872,26-07-17,-1007,-3551,4599
873,25-07-17,635,-3411,2657
874,24-07-17,210,-1683,1441
875,21-07-17,-2170,2884,-611
876,20-07-17,-1451,582,484
877,19-07-17,-773,-978,1290
878,18-07-17,610,-2175,1220
879,17-07-17,-1130,-428,1117
880,14-07-17,-534,1989,242
881,13-07-17,-2064,3403,-1861
882,12-07-17,1804,3839,-2520
883,11-07-17,-1237,982,-204
884,10-07-17,-462,-580,772
885,07-07-17,636,2766,549
886,06-07-17,1291,2190,-3999
887,05-07-17,540,-61,-816
888,04-07-17,447,-1936,1041
889,03-07-17,-843,1076,-845
890,30-06-17,1086,-385,-1200
891,29-06-17,-1667,999,201
892,28-06-17,1335,-1810,-63
893,27-06-17,2221,541,-3260
894,26-06-17,220,441,-1225
895,23-06-17,-2994,1664,1061
896,22-06-17,758,1831,473
897,21-06-17,2943,-1826,-1859
898,20-06-17,3582,4887,-5985
899,19-06-17,-1019,1235,-545
900,16-06-17,550,-1629,582
901,15-06-17,2587,123,-3060
902,14-06-17,529,236,-1221
903,13-06-17,-1219,-782,1625
904,12-06-17,4988,-1445,-4078
905,09-06-17,-1763,1525,-370
906,08-06-17,979,2835,-4536
907,07-06-17,1265,1149,-2967
908,05-06-17,43,2740,-3278
909,02-06-17,-2407,4475,-2510
910,01-06-17,751,-103,-893
911,31-05-17,-369,-3623,3609
912,30-05-17,135,-456,-29
913,29-05-17,515,240,-1069
914,26-05-17,-2587,1208,851
915,25-05-17,-4053,1184,2656
916,24-05-17,-365,775,-894
917,23-05-17,-2616,-541,2812
918,22-05-17,-885,2882,-2602
919,19-05-17,-651,401,-276
920,18-05-17,-191,259,-638
921,17-05-17,1617,79,-2189
922,16-05-17,234,2345,730
923,15-05-17,350,-971,252
924,12-05-17,3635,-3038,-939
925,11-05-17,-4441,1017,3318
926,10-05-17,-1005,1117,-462
927,08-05-17,-6632,5394,855
928,04-05-17,-709,3612,-3334
929,02-05-17,-1297,1333,-474
930,28-04-17,3399,-162,-3548
931,27-04-17,1549,116,-1587
932,26-04-17,-3680,2935,768
933,25-04-17,-3678,6486,-2810
934,24-04-17,-2495,3355,-724
935,21-04-17,-3165,2342,899
936,20-04-17,-2761,739,2236
937,19-04-17,1159,-2262,1104
938,18-04-17,-482,98,385
939,17-04-17,-1610,-1146,2666
940,14-04-17,444,-755,228
941,13-04-17,-1138,-19,1042
942,12-04-17,248,741,-1048
943,11-04-17,314,-1276,978
944,10-04-17,64,-541,-45
945,07-04-17,104,-791,1031
946,06-04-17,1683,-933,-1179
947,05-04-17,1280,-74,-1672
948,04-04-17,1794,-1029,-1235
949,03-04-17,-593,-233,312
950,31-03-17,-1110,265,329
951,30-03-17,656,902,-1692
952,29-03-17,368,-618,-264
953,28-03-17,19,216,-818
954,27-03-17,167,364,-1047
955,24-03-17,-1868,-905,2207
956,23-03-17,-1284,539,182
957,22-03-17,1813,-957,-1169
958,21-03-17,-2348,3613,-1899
959,20-03-17,850,-844,-517
960,17-03-17,-935,2504,-2104
961,16-03-17,-2374,2776,-893
962,15-03-17,847,1292,-2688
963,14-03-17,-501,4060,-4065
964,13-03-17,-2824,4542,-2161
965,10-03-17,553,1589,-2781
966,09-03-17,1105,4434,-6175
967,08-03-17,-174,1536,-1966
968,07-03-17,-2461,924,1000
969,06-03-17,-487,2562,-2637
970,03-03-17,1065,-324,-1253
971,02-03-17,-1071,6802,-6206
972,28-02-17,-1164,645,-273
973,27-02-17,-326,-2262,2174
974,24-02-17,78,-52,-518
975,23-02-17,-274,352,-588
976,22-02-17,-936,4535,-1987
977,21-02-17,-3185,1243,1539
978,20-02-17,1032,538,-2097
979,17-02-17,-4841,2894,1485
980,16-02-17,426,1649,-2654
981,15-02-17,-1751,-296,1591
982,14-02-17,-1367,-1223,2653
983,13-02-17,-2787,54,2307
984,10-02-17,-2473,-1074,3136
985,09-02-17,221,624,-1278
986,08-02-17,931,-2425,1044
987,07-02-17,-320,-1586,1437
988,06-02-17,-1136,24,639
989,03-02-17,1109,-1087,-597
990,02-02-17,612,707,-1785
991,01-02-17,-871,-123,551
992,31-01-17,1323,-3018,1182
993,26-01-17,-2148,3640,-1960
994,25-01-17,1093,2084,-3757
995,24-01-17,-125,-132,92
996,23-01-17,-118,1170,-1093
997,20-01-17,67,-465,380
998,19-01-17,1288,1471,-2829
999,18-01-17,-723,-194,874
1000,17-01-17,-830,-81,903
1001,16-01-17,400,-2393,1847
1002,13-01-17,-585,-1066,1635
1003,12-01-17,-321,342,-104
1004,11-01-17,-4300,4838,-551
1005,10-01-17,1286,996,-2498
1006,09-01-17,1934,2510,-4574
1007,06-01-17,-288,1686,-1365
1008,05-01-17,655,868,-1648
1009,04-01-17,1272,2147,-3583
1010,03-01-17,-112,1717,-1750
1011,02-01-17,386,275,-847
1012,29-12-16,1562,1284,-2968
1013,28-12-16,2810,1306,-4148
1014,27-12-16,-2588,923,1736
1015,26-12-16,-878,-353,1253
1016,23-12-16,-1255,-977,2283
1017,22-12-16,-297,-539,759
1018,21-12-16,-82,775,-691
1019,20-12-16,-335,601,-291
1020,19-12-16,788,49,-795
1021,16-12-16,254,678,-1621
1022,15-12-16,-676,-34,660
1023,14-12-16,132,1769,-1890
1024,13-12-16,-1025,1120,-147
1025,12-12-16,-964,847,148
1026,09-12-16,-1177,559,584
1027,08-12-16,-6546,283,6551
1028,07-12-16,141,783,-908
1029,06-12-16,-3605,791,2929
1030,05-12-16,-1144,-49,1013
1031,02-12-16,230,-20,-476
1032,01-12-16,209,310,-527
1033,30-11-16,446,2714,-3176
1034,29-11-16,-83,4494,-1493
1035,28-11-16,-196,2066,-2046
1036,25-11-16,-363,185,-39
1037,24-11-16,138,-1426,1043
1038,23-11-16,-2163,1641,4066
1039,22-11-16,-1403,3397,517
1040,21-11-16,-393,670,-490
1041,18-11-16,2350,610,-3310
1042,17-11-16,71,605,-907
1043,16-11-16,-710,-98,657
1044,15-11-16,718,-2083,1092
1045,14-11-16,307,-3371,2781
1046,11-11-16,897,-4495,3782
1047,10-11-16,-3101,482,2295
1048,09-11-16,-1269,-2132,3095
1049,08-11-16,187,-570,126
1050,07-11-16,-860,-2191,2914
1051,04-11-16,-110,-1915,1925
1052,03-11-16,-1355,-2055,3398
1053,02-11-16,-1301,-224,1478
1054,01-11-16,-912,140,659
1055,31-10-16,-1441,97,1310
1056,28-10-16,570,-339,-139
1057,27-10-16,-37,277,-240
1058,26-10-16,575,-857,299
1059,25-10-16,-1878,-678,2424
1060,24-10-16,-2555,903,1586
1061,21-10-16,-670,440,111
1062,20-10-16,-1227,1070,173
1063,19-10-16,-164,2276,-2102
1064,18-10-16,-2844,1875,864
1065,17-10-16,-486,2911,-2437
1066,14-10-16,-437,328,-10
1067,13-10-16,3754,1944,-5702
1068,12-10-16,-698,-5544,6243
1069,11-10-16,-1542,-3368,4819
1070,10-10-16,-3040,-420,3235
1071,07-10-16,1964,385,-2369
1072,06-10-16,475,919,-1473
1073,05-10-16,992,-26,-1102
1074,04-10-16,-894,1793,-901
1075,30-09-16,3779,-1558,-2389
1076,29-09-16,-2133,1809,252
1077,28-09-16,864,-1165,404
1078,27-09-16,-2646,225,2547
1079,26-09-16,-29,-176,-1189
1080,23-09-16,-2912,-460,1944
1081,22-09-16,-1320,1266,-1388
1082,21-09-16,131,878,-2269
1083,20-09-16,1155,987,-3459
1084,19-09-16,973,469,-2733
1085,13-09-16,2989,2476,-6883
1086,12-09-16,884,-2183,1363
1087,09-09-16,913,-503,-483
1088,08-09-16,41,1800,-1825
1089,07-09-16,-202,814,-464
1090,06-09-16,421,2688,-3089
1091,05-09-16,-3938,2694,1387
1092,02-09-16,-172,2162,-1935
1093,01-09-16,989,-1407,385
1094,31-08-16,105,204,-90
1095,30-08-16,-1726,503,1276
1096,29-08-16,-420,830,-394
1097,26-08-16,-614,-3841,1905
1098,25-08-16,-33,-3207,2531
1099,24-08-16,-178,-475,-390
1100,23-08-16,791,450,-2163
1101,22-08-16,863,-131,-1839
1102,19-08-16,531,2186,-3539
1103,18-08-16,-90,1886,-1845
1104,17-08-16,438,128,-876
1105,16-08-16,-363,331,-206
1106,12-08-16,-1793,578,995
1107,11-08-16,255,-176,-337
1108,10-08-16,-1893,3077,-1364
1109,09-08-16,-3140,2072,762
1110,08-08-16,-2024,797,860
1111,05-08-16,-1990,2470,-728
1112,04-08-16,472,376,-1090
1113,03-08-16,2538,-868,-1962
1114,02-08-16,1062,528,-1806
1115,01-08-16,-1049,3074,-2969
1116,29-07-16,895,2115,-3196
1117,28-07-16,-1101,1961,-801
1118,27-07-16,-1379,2436,-1035
1119,26-07-16,-1733,1926,168
1120,25-07-16,-810,1934,-1077
1121,22-07-16,-1201,720,423
1122,21-07-16,334,446,-823
1123,20-07-16,320,1794,-2214
1124,19-07-16,1178,3132,-4255
1125,18-07-16,-22,2238,-2139
1126,15-07-16,-1882,4902,-3066
1127,14-07-16,-1367,3675,-2281
1128,13-07-16,-1874,5802,-3803
1129,12-07-16,-1942,1922,-484
1130,11-07-16,-3904,2698,832
1131,08-07-16,2047,407,-2898
1132,07-07-16,-903,1693,-1196
1133,06-07-16,5113,-4277,-1384
1134,05-07-16,1382,134,-2108
1135,04-07-16,-665,1602,-1454
1136,01-07-16,-2053,2517,-908
1137,30-06-16,382,4040,-2486
1138,29-06-16,-224,564,-633
1139,28-06-16,1675,-3686,1542
1140,27-06-16,-2164,-2393,4082
1141,24-06-16,349,-1467,553
1142,23-06-16,-2647,276,1891
1143,22-06-16,-2508,283,1729
1144,21-06-16,908,-1120,-304
1145,20-06-16,-1812,188,1161
1146,17-06-16,-72,-1022,569
1147,16-06-16,1164,443,-2096
1148,15-06-16,1681,-211,-572
1149,14-06-16,2269,-1058,-1806
1150,13-06-16,1737,-1480,-738
1151,10-06-16,-1141,-276,895
1152,09-06-16,-2281,4132,-1958
1153,08-06-16,-3145,3095,-384
1154,07-06-16,-4358,2604,1479
1155,03-06-16,-1141,-1296,3436
1156,02-06-16,-618,3876,-1977
1157,01-06-16,-885,2401,-1895
1158,31-05-16,-1607,-1296,2104
1159,30-05-16,-350,1210,-1246
1160,27-05-16,-1760,1514,-107
1161,26-05-16,-955,59,644
1162,25-05-16,-3363,1249,2076
1163,24-05-16,789,-598,-614
1164,23-05-16,-675,26,334
1165,20-05-16,-617,-1277,1508
1166,19-05-16,310,-205,-423
1167,18-05-16,1214,356,-1974
1168,17-05-16,832,-535,-521
1169,16-05-16,-51,151,-397
1170,13-05-16,2184,-1437,-1156
1171,12-05-16,1105,243,-1283
1172,11-05-16,1308,704,-2414
1173,10-05-16,-1248,355,410
1174,09-05-16,1192,-991,-527
1175,04-05-16,2978,1719,-4904
1176,03-05-16,685,868,-1770
1177,02-05-16,1803,-317,-1778
1178,29-04-16,1095,639,-2031
1179,28-04-16,883,-2033,1165
1180,27-04-16,776,1818,-2579
1181,26-04-16,-886,1358,-443
1182,25-04-16,-414,2081,-1598
1183,22-04-16,385,1551,-1847
1184,21-04-16,-3020,1598,1479
1185,20-04-16,-450,1117,-586
1186,19-04-16,-1526,286,1396
1187,18-04-16,-482,1996,-1392
1188,15-04-16,-1094,1028,250
1189,14-04-16,-7912,5503,1741
1190,12-04-16,-885,1160,-1028
1191,11-04-16,810,-156,-1284
1192,08-04-16,486,1651,-2800
1193,07-04-16,298,2259,-3185
1194,06-04-16,1196,1172,-2994
1195,05-04-16,1944,-1926,-733
1196,04-04-16,615,574,-1931
1197,01-04-16,2851,-2106,-466
1198,31-03-16,821,-2100,575
1199,30-03-16,-1266,371,68
1200,29-03-16,-1845,1474,-265
1201,28-03-16,-251,-126,-320
1202,25-03-16,-707,-424,409
1203,24-03-16,592,455,-1732
1204,23-03-16,-436,115,-451
1205,22-03-16,-1151,1360,-884
1206,21-03-16,1035,1353,-3130
1207,18-03-16,297,2783,-3429
1208,17-03-16,-2685,7364,-1455
1209,16-03-16,-459,976,-908
1210,15-03-16,95,631,-1314
1211,14-03-16,1352,819,-2450
1212,11-03-16,-568,1475,-1501
1213,10-03-16,-1219,6503,-5820
1214,09-03-16,-46,-207,-260
1215,08-03-16,1060,-961,-613
1216,07-03-16,-536,2011,-1988
1217,04-03-16,-455,1598,-1321
1218,03-03-16,-3148,4960,-2354
1219,02-03-16,-4110,3760,-154
1220,29-02-16,-538,1719,-1893
1221,26-02-16,-427,2424,1634
1222,25-02-16,1008,197,-112
1223,24-02-16,-327,-200,-166
1224,23-02-16,-156,-67,-524
1225,22-02-16,-537,335,-473
1226,19-02-16,-1784,1669,-684
1227,18-02-16,-3020,858,1368
1228,17-02-16,-1588,-220,694
1229,16-02-16,-2307,813,837
1230,15-02-16,-1241,-1257,2207
1231,12-02-16,-1903,-3017,4287
1232,11-02-16,430,-1662,615
1233,05-02-16,-1527,-14,5659
1234,04-02-16,-3599,1480,1703
1235,03-02-16,1242,-1912,-12
1236,02-02-16,277,-321,-543
1237,01-02-16,-2393,1826,32
1238,29-01-16,-1771,1750,-652
1239,28-01-16,-1029,-172,16441
1240,27-01-16,-3036,322,2683
1241,26-01-16,3172,-1914,-1364
1242,25-01-16,-1860,-826,2576
1243,22-01-16,-2013,-1577,3461
1244,21-01-16,-271,-2975,3156
1245,20-01-16,3004,-2278,-842
1246,19-01-16,879,-2792,1772
1247,18-01-16,121,-3463,3186
1248,15-01-16,2517,-2168,-680
1249,14-01-16,2957,-3730,436
1250,13-01-16,-1885,-503,2206
1251,12-01-16,1441,-2213,-15
1252,11-01-16,2569,-1130,861
1253,08-01-16,-472,-1500,1232
1254,07-01-16,1844,-2680,79
1255,06-01-16,1029,1642,-692
1256,05-01-16,167,-1894,1000
1257,04-01-16,4157,-1567,-3471
1258,30-12-15,2297,-365,-2822
1259,29-12-15,2643,-933,-2774
1260,28-12-15,-1952,-323,1497
1261,24-12-15,-3624,-71,3509
1262,23-12-15,-4810,-61,4404
1263,22-12-15,-2716,-72,2166
1264,21-12-15,-1420,-1208,2255
1265,18-12-15,-663,-1420,1759
1266,17-12-15,-1761,-652,1779
1267,16-12-15,-3954,-1610,5339
1268,15-12-15,-92,-3562,2750
1269,14-12-15,-1478,-2959,3437
1270,11-12-15,-321,-2306,1178
1271,10-12-15,165,-3565,2303
1272,09-12-15,-132,-2443,1490
1273,08-12-15,598,-1813,250
1274,07-12-15,703,-1478,-481
1275,04-12-15,1542,-3634,652
1276,03-12-15,2111,-2556,-805
1277,02-12-15,1221,-3040,74
1278,01-12-15,-2128,1107,470
1279,30-11-15,3660,-5394,541
1280,27-11-15,-1364,-300,213
1281,26-11-15,-2903,643,1599
1282,25-11-15,153,-1966,756
1283,24-11-15,-1250,-1831,2295
1284,23-11-15,-1980,-1056,1681
1285,20-11-15,-1175,-1784,1445
1286,19-11-15,-7678,2876,3384
1287,18-11-15,400,-1426,239
1288,17-11-15,-835,-1656,1569
1289,16-11-15,1165,-2356,112
1290,13-11-15,1111,-2102,-446
1291,12-11-15,1057,-2200,-235
1292,11-11-15,1362,-2246,65
1293,10-11-15,3969,-673,-1681
1294,09-11-15,734,30,-1885
1295,06-11-15,552,-513,-1373
1296,05-11-15,457,-303,-1272
1297,04-11-15,-2256,1150,-384
1298,03-11-15,-3066,298,1014
1299,02-11-15,-228,1325,-2494
1300,30-10-15,1438,-277,-1300
1301,29-10-15,731,-285,-495
1302,28-10-15,177,-2215,1722
1303,27-10-15,277,-124,-182
1304,26-10-15,-1620,1589,10
1305,23-10-15,-2813,1123,1626
1306,22-10-15,2368,-2868,252
1307,21-10-15,-780,-60,455
1308,20-10-15,-1312,373,782
1309,19-10-15,-442,631,-266
1310,16-10-15,849,-2155,1241
1311,15-10-15,-2912,382,2324
1312,14-10-15,536,-1114,388
1313,13-10-15,-331,1040,-901
1314,12-10-15,-2672,1330,859
1315,08-10-15,-2031,1885,-378
1316,07-10-15,-2109,879,874
1317,06-10-15,-1627,1380,913
1318,05-10-15,-1359,-161,734
1319,02-10-15,1059,-1280,-124
1320,01-10-15,-3055,1007,1712
1321,30-09-15,-356,1480,-1510
1322,25-09-15,861,-3002,1516
1323,24-09-15,5900,-2203,624
1324,23-09-15,3892,-2997,1526
1325,22-09-15,-1017,-198,1129
1326,21-09-15,2537,-1926,-1106
1327,18-09-15,-1981,1703,-105
1328,17-09-15,-2685,1227,1344
1329,16-09-15,-5911,2185,3590
1330,15-09-15,-1341,-1183,2111
1331,14-09-15,503,-596,-317
1332,11-09-15,324,-567,-348
1333,10-09-15,-3778,-2323,6004
1334,09-09-15,-3886,-1477,5382
1335,08-09-15,235,-2506,1749
1336,07-09-15,-220,-2867,2677
1337,04-09-15,2041,-231,-2225
1338,03-09-15,1423,-1211,-406
1339,02-09-15,-294,-885,665
1340,01-09-15,2368,-77,-2784
1341,31-08-15,-68,-367,333
1342,28-08-15,-591,-383,1158
1343,27-08-15,1905,-3483,1205
1344,26-08-15,1106,-5505,3913
1345,25-08-15,3027,-5289,2146
1346,24-08-15,2980,-7291,4010
1347,21-08-15,-5329,-4463,9238
1348,20-08-15,-378,-2936,2885
1349,19-08-15,-2192,-256,1675
1350,18-08-15,-1018,-189,839
1351,17-08-15,1349,-3223,1543
1352,13-08-15,-275,-2168,1993
1353,12-08-15,197,-3036,2635
1354,11-08-15,756,-820,-209
1355,10-08-15,672,-584,-26
1356,07-08-15,1517,-307,-1731
1357,06-08-15,1759,-1004,-1438
1358,05-08-15,-642,-261,178
1359,04-08-15,-1735,573,747
1360,03-08-15,550,-89,-1051
1361,31-07-15,-1401,1668,-902
1362,30-07-15,-252,-812,933
1363,29-07-15,31,11,-341
1364,28-07-15,-875,-1256,2071
1365,27-07-15,-713,-11,360
1366,24-07-15,3833,-2585,-1488
1367,23-07-15,1717,-1889,59
1368,22-07-15,4229,-3758,-287
1369,21-07-15,935,-1285,385
1370,20-07-15,1303,-190,-1024
1371,17-07-15,3575,-755,-2929
1372,16-07-15,-423,1815,988
1373,15-07-15,609,2351,-2952
1374,14-07-15,1682,-384,-1213
1375,13-07-15,273,45,-105
1376,10-07-15,2328,-714,-1567
1377,09-07-15,1107,-3496,2324
1378,08-07-15,2963,-3985,1147
1379,07-07-15,2503,-1033,-1509
1380,06-07-15,4891,-2806,-2189
1381,03-07-15,1210,-119,-705
1382,02-07-15,-20,1127,-825
1383,01-07-15,-748,64,736
1384,30-06-15,-310,-513,835
1385,29-06-15,929,-1125,230
1386,26-06-15,-169,590,-338
1387,25-06-15,-319,61,386
1388,24-06-15,-246,541,-148
1389,23-06-15,-1181,-105,1429
1390,22-06-15,1048,-1240,261
1391,19-06-15,1117,-2842,1904
1392,18-06-15,14,-2646,2583
1393,17-06-15,637,-1545,924
1394,16-06-15,1870,-3137,1203
1395,15-06-15,117,1225,-1374
1396,12-06-15,2217,-826,-1442
1397,11-06-15,2541,-1642,-968
1398,10-06-15,2793,-1962,-855
1399,09-06-15,1620,-1454,-382
1400,08-06-15,676,-741,-159
1401,05-06-15,-543,1094,-614
1402,04-06-15,-99,3746,-3598
1403,03-06-15,-886,1499,-749
1404,02-06-15,2245,123,-2132
1405,01-06-15,476,391,-891
1406,29-05-15,-1702,2551,-825
1407,28-05-15,-469,2484,-2026
1408,27-05-15,4215,-2310,-2022
1409,26-05-15,-450,-100,802
1410,22-05-15,-3470,2945,457
1411,21-05-15,1978,608,-2521
1412,20-05-15,-755,1344,-425
1413,19-05-15,880,776,-1685
1414,18-05-15,251,1621,-1768
1415,15-05-15,2364,4794,-656
1416,14-05-15,1127,235,-1123
1417,13-05-15,-720,775,-21
1418,12-05-15,755,54,-921
1419,11-05-15,832,-461,-570
1420,08-05-15,1978,-239,-1715
1421,07-05-15,1685,-672,-1084
1422,06-05-15,1106,937,-2185
1423,04-05-15,-105,1295,-1141
1424,30-04-15,1089,716,-1628
1425,29-04-15,2317,-603,-1374
1426,28-04-15,-663,-7,714
1427,27-04-15,323,2080,-2462
1428,24-04-15,-805,5339,-4347
1429,23-04-15,-4577,4397,343
1430,22-04-15,-3334,7431,-3951
1431,21-04-15,2274,2452,-4748
1432,20-04-15,324,2839,-3048
1433,17-04-15,-1486,2816,-1081
1434,16-04-15,-1018,3703,-2681
1435,15-04-15,182,3224,-3449
1436,14-04-15,-2210,3926,-1481
1437,13-04-15,222,2770,-2847
1438,10-04-15,-3044,2879,220
1439,09-04-15,1534,1533,-2287
1440,08-04-15,-1368,917,600
1441,07-04-15,627,440,-570
1442,06-04-15,1213,-215,-1085
1443,03-04-15,-1315,432,896
1444,02-04-15,997,-183,-705
1445,01-04-15,1223,-707,-829
1446,31-03-15,-267,1374,-1068
1447,30-03-15,160,763,-782
1448,27-03-15,1544,-800,-332
1449,26-03-15,1875,-1138,-683
1450,25-03-15,1016,1159,-1759
1451,24-03-15,401,630,-849
1452,23-03-15,-1138,1437,-86
1453,20-03-15,191,2187,-2217
1454,19-03-15,-2325,3996,-1431
1455,18-03-15,-608,3299,-2428
1456,17-03-15,-5949,4971,967
1457,16-03-15,80,31,-257
1458,13-03-15,-635,1050,-476
1459,12-03-15,1816,-1182,-804
1460,11-03-15,2605,903,-3547
1461,10-03-15,1183,800,-2038
1462,09-03-15,2333,-627,-1834
1463,06-03-15,-1407,2828,-1519
1464,05-03-15,278,1233,-1163
1465,04-03-15,931,2353,-3265
1466,03-03-15,-46,1793,-1817
1467,02-03-15,-509,1581,-1060
1468,27-02-15,841,838,-1638
1469,26-02-15,-1388,2308,-1006
1470,25-02-15,-2996,2074,1118
1471,24-02-15,-1201,796,486
1472,23-02-15,-930,1272,-105
1473,17-02-15,-788,-256,1255
1474,16-02-15,-326,1327,-948
1475,13-02-15,-2328,1735,656
1476,12-02-15,232,-592,334
1477,11-02-15,-1459,1000,720
1478,10-02-15,944,-1298,396
1479,09-02-15,525,-1077,494
1480,06-02-15,-9129,4297,4710
1481,05-02-15,2193,-1140,-1099
1482,04-02-15,-2450,2247,268
1483,03-02-15,145,-295,143
1484,02-02-15,315,42,-506
1485,30-01-15,1441,-951,-324
1486,29-01-15,1090,-2432,1233
1487,28-01-15,-1307,-693,1863
1488,27-01-15,-2022,824,1029
1489,26-01-15,735,-1091,-842
1490,23-01-15,-1101,987,-955
1491,22-01-15,-863,615,-893
1492,21-01-15,-114,704,-1587
1493,20-01-15,-2112,320,1705
1494,19-01-15,-1438,-256,1628
1495,16-01-15,2689,-3001,-1270
1496,15-01-15,291,-2066,425
1497,14-01-15,719,-906,-836
1498,13-01-15,2721,-541,-3079
1499,12-01-15,-19,-814,-117
1500,09-01-15,-2816,1592,778
1501,08-01-15,-1486,1938,-261
1502,07-01-15,1256,-2210,-37
1503,06-01-15,2731,-3309,-804
1504,05-01-15,575,555,-2306
1505,02-01-15,1264,286,-2040
1506,30-12-14,1479,-992,-2026
1507,29-12-14,1273,-1197,-1660
1508,26-12-14,-3681,658,2995
1509,24-12-14,-2317,531,1542
1510,23-12-14,-1392,-1166,1447
1511,22-12-14,-1348,-559,1869
1512,19-12-14,-1823,-24,1833
1513,18-12-14,-627,-5220,4834
1514,17-12-14,-904,-4086,3952
1515,16-12-14,1202,-4899,3459
1516,15-12-14,261,-3044,1650
1517,12-12-14,-214,-2488,1840
1518,11-12-14,3383,-7068,2010
1519,10-12-14,1094,-1309,-259
1520,09-12-14,-394,2287,-97
1521,08-12-14,-313,1065,-714
1522,05-12-14,-626,2304,-1748
1523,04-12-14,-2679,437,1995
1524,03-12-14,-1027,460,-145
1525,02-12-14,-370,433,-895
1526,01-12-14,1226,622,-2096
1527,28-11-14,940,524,-1512
1528,27-11-14,-128,-192,375
1529,26-11-14,-698,766,-70
1530,25-11-14,-4158,3875,423
1531,24-11-14,-4434,3493,866
1532,21-11-14,-1495,581,701
1533,20-11-14,-892,3855,1426
1534,19-11-14,-582,3756,69
1535,18-11-14,-2925,2402,707
1536,17-11-14,-1775,-327,1684
1537,14-11-14,-1825,-2412,3834
1538,13-11-14,549,1112,-2038
1539,12-11-14,-324,-169,-305
1540,11-11-14,-1274,1092,-481
1541,10-11-14,-796,424,-48
1542,07-11-14,-48,-974,768
1543,06-11-14,-1351,-684,1610
1544,05-11-14,-869,-1375,1881
1545,04-11-14,351,-242,-487
1546,03-11-14,616,-52,-1034
1547,31-10-14,-424,2784,-2923
1548,30-10-14,1474,-230,-1376
1549,29-10-14,-4070,1238,2762
1550,28-10-14,1092,-1486,438
1551,27-10-14,-954,-102,985
1552,24-10-14,1036,3556,3952
1553,23-10-14,669,-1948,1231
1554,22-10-14,-1103,438,684
1555,21-10-14,1169,-629,-552
1556,20-10-14,-1544,206,1175
1557,17-10-14,806,-3095,2135
1558,16-10-14,-656,-218,836
1559,15-10-14,765,-1814,815
1560,14-10-14,295,-2924,2487
1561,13-10-14,-762,-3162,3739
1562,10-10-14,845,-1866,922
1563,08-10-14,574,-1565,753
1564,07-10-14,233,-1791,1421
1565,06-10-14,1396,-1998,456
1566,02-10-14,1002,-3862,2599
1567,01-10-14,1445,-1974,352
1568,30-09-14,-1035,1849,164
1569,29-09-14,-101,558,-646
1570,26-09-14,44,-234,199
1571,25-09-14,35,-1261,1175
